ICN|항공코드,인천 국제공항,,,,
GMP|항공코드,김포 국제공항,,,,
PUS|항공코드,김해 국제공항,,,,
CJU|항공코드,제주 국제공항,,,,
TAE|항공코드,대구 국제공항,,,,
CJJ|항공코드,청주 국제공항,,,,
KWJ|항공코드,광주 국제공항,,,,
MWX|항공코드,무안 국제공항,,,,
YNY|항공코드,양양 국제공항,,,,
USN|항공코드,울산 공항,,,,
HIN|항공코드,사천 공항,,,,
KPO|항공코드,포항 공항,,,,
KUV|항공코드,군산 공항,,,,
RSU|항공코드,여수 공항,,,,
MPK|항공코드,목포 공항,,,,
WJU|항공코드,원주 공항,,,,
SSN|항공코드,서울 공항,,,,
JDG|항공코드,정석 공항,,,,
ADL|항공코드,애들레이드 국제공항,,,,
ALH|항공코드,올버니 공항,,,,
ABX|항공코드,엘버리 공항,,,,
ASP|항공코드,앨리스 스프링스 공항,,,,
ABH|항공코드,알파 공항,,,,
GTE|항공코드,알리앵굴라 공항,,,,
ARY|항공코드,아라라트 공항,,,,
ARM|항공코드,아미데일 공항,,,,
AVV|항공코드,아발론 공항,,,,
BSJ|항공코드,반즈데일 공항,,,,
BNK|항공코드,밸리나 바이런 게이트웨이 공항,,,,
BZD|항공코드,발라놀드 공항,,,,
BWU|항공코드,뱅크스타운 공항,,,,
BCI|항공코드,바르칼딘 공항,,,,
BRT|항공코드,베더스트아일랜드 공항,,,,
BEU|항공코드,베두리 공항,,,,
BEO|항공코드,벨먼트 공항,,,,
BLN|항공코드,베날라 공항,,,,
BXG|항공코드,벤디고 공항,,,,
BVI|항공코드,버드스빌 공항,,,,
BKQ|항공코드,블랙올 공항,,,,
BLT|항공코드,블랙워터 공항,,,,
BQL|항공코드,부리아 공항,,,,
BRK|항공코드,부케 공항,,,,
BWQ|항공코드,브레와리나 공항,,,,
BNE|항공코드,브리즈번 국제공항,,,,
BHQ|항공코드,브로큰힐 공항,,,,
BME|항공코드,브룸 국제공항,,,,
BDB|항공코드,번다버그 공항,,,,
BWT|항공코드,버니 윈야드 공항,,,,
BQB|항공코드,부셀톤 지역공항,,,,
CNS|항공코드,케언스 국제공항,,,,
CDU|항공코드,캠던 공항,,,,
CBR|항공코드,캔버라 국제공항,,,,
CVQ|항공코드,카나번 공항,,,,
CED|항공코드,세두나 공항,,,,
CTL|항공코드,샤를빌 공항,,,,
CCL|항공코드,친칠라 공항,,,,
XCH|항공코드,크리스마스아일랜드 공항,,,,
CMQ|항공코드,클레르몽 공항,,,,
CVC|항공코드,크레브 공항,,,,
CNJ|항공코드,클론커리 공항,,,,
CAZ|항공코드,코바 공항,,,,
CCK|항공코드,코코스 킬링 아일랜드 국제공항,,,,
CUQ|항공코드,코언 공항,,,,
CFS|항공코드,코프스하버 공항,,,,
CRB|항공코드,콜라레네브리 공항,,,,
AYQ|항공코드,코넬런 공항,,,,
CPD|항공코드,쿠버페디 공항,,,,
CTN|항공코드,쿡타운 공항,,,,
OOL|항공코드,쿨랑가타 공항,,,,
OOM|항공코드,쿠마 수노이 공항,,,,
COJ|항공코드,쿠나바라브란 공항,,,,
CNB|항공코드,쿠남블 공항,,,,
CMD|항공코드,쿠타문드라 공항,,,,
CWW|항공코드,코로와 공항,,,,
CYG|항공코드,코리용 공항,,,,
CWT|항공코드,코우라 공항,,,,
CKI|항공코드,크로커아일랜드 공항,,,,
CUY|항공코드,큐 공항,,,,
CMA|항공코드,쿠나물라 공항,,,,
DCN|항공코드,커튼 공항 ,커튼 공군기지,,,
DRW|항공코드,다윈 국제공항,,,,
DNQ|항공코드,데닐리킨 공항,,,,
DRB|항공코드,더비 공항,,,,
DPO|항공코드,데번포트 공항,,,,
DRN|항공코드,디란반디 공항,,,,
DBO|항공코드,두보 공항,,,,
DYA|항공코드,디자트 공항,,,,
ECH|항공코드,에츄카 공항,,,,
ELC|항공코드,엘쵸아일랜드 공항,,,,
EMD|항공코드,에머럴드 공항,,,,
EPR|항공코드,에스페란스 공항,,,,
MEB|항공코드,에션던 공항,,,,
FIZ|항공코드,핏즈로이크로싱 공항,,,,
FLS|항공코드,플린더스아일랜드 공항,,,,
FRB|항공코드,포브스 공항,,,,
FOS|항공코드,포러스트 공항,,,,
WGA|항공코드,포레스트 힐 공항,,,,
OKB|항공코드,프레이저 아일랜드 공항 ,오키드비치,,,
GPN|항공코드,가든 포인트 공항,,,,
GEX|항공코드,길롱 공항,,,,
GET|항공코드,제럴턴 공항,,,,
GLT|항공코드,글래드스톤 공항,,,,
GLI|항공코드,글렌인스 공항,,,,
GOO|항공코드,군디윈디 공항,,,,
GUL|항공코드,골번 공항,,,,
GFN|항공코드,그래프턴 공항,,,,
GFF|항공코드,그리피스 공항,,,,
GUH|항공코드,구네다 공항,,,,
HCQ|항공코드,홀스크릭 공항,,,,
HLT|항공코드,해밀턴 공항,,,,
HTI|항공코드,헤밀튼아일랜드 공항,,,,
HXX|항공코드,헤이 공항,,,,
HVB|항공코드,허비베이 공항,,,,
NOA|항공코드,알바트로스 HMAS,,,,
HBA|항공코드,호바트 국제공항,,,,
HTU|항공코드,호프턴 공항,,,,
HID|항공코드,혼아일랜드 공항,,,,
HSM|항공코드,호르샴 공항,,,,
IVR|항공코드,인버렐 공항,,,,
JAD|항공코드,잔다콧 공항,,,,
KGI|항공코드,캘굴리 볼더 공항,,,,
KFG|항공코드,칼카링기 공항,,,,
KTA|항공코드,카라타 공항,,,,
KRB|항공코드,카룸바 공항,,,,
KPS|항공코드,켐지 공항,,,,
KRA|항공코드,케랑 공항,,,,
KNS|항공코드,킹아일랜드 공항,,,,
KGY|항공코드,킨가로이 공항,,,,
KGC|항공코드,킹스코트 공항,,,,
SYD|항공코드,킹스포트 스미스 공항 ,시드니,,,
KWM|항공코드,코와야마 공항,,,,
KNX|항공코드,쿤누누라 공항,,,,
LTB|항공코드,라트로브 벨리 공항,,,,
LST|항공코드,론서스턴 공항,,,,
LTO|항공코드,라버튼 공항,,,,
LEA|항공코드,리어먼스 공항,,,,
LGH|항공코드,라이크릭 공항,,,,
LER|항공코드,라인스터 공항,,,,
LNO|항공코드,레오노라 공항,,,,
LHG|항공코드,라이트닝릿지 공항,,,,
LSY|항공코드,리스모어 공항,,,,
IRG|항공코드,락하트리버스 공항,,,,
LRE|항공코드,롱리치 공항,,,,
LDH|항공코드,로드호바아일랜드 공항,,,,
MKY|항공코드,매카이 공항,,,,
XMC|항공코드,말라쿠타 공항,,,,
MNG|항공코드,마닝그리다 공항,,,,
MRG|항공코드,마리바 공항,,,,
MCY|항공코드,마로카이도어 공항,,,,
MBH|항공코드,메리보로 공항,,,,
MKR|항공코드,미카다라 공항,,,,
MIM|항공코드,메림불라 공항,,,,
MQL|항공코드,밀두라 공항,,,,
MBW|항공코드,무라빈 공항,,,,
MOV|항공코드,모란바 공항,,,,
MRZ|항공코드,모리 공항,,,,
MYA|항공코드,모루야 공항,,,,
MGB|항공코드,마운트겜비어 공항,,,,
MHU|항공코드,마운트 핫탬 공항,,,,
ISA|항공코드,마운트이사 공항,,,,
WME|항공코드,마운트 키스 공항,,,,
MMG|항공코드,마운트마그넷 공항,,,,
DGE|항공코드,머지 공항,,,,
NAA|항공코드,나라브리 공항,,,,
NRA|항공코드,나란데라 공항,,,,
QRM|항공코드,나로민 공항,,,,
ZNE|항공코드,뉴먼 공항,,,,
RPM|항공코드,음구쿠르 공항,,,,
GOV|항공코드,누휼런바이 공항  ,고브,,,
NLK|항공코드,노포크아일랜드 공항,,,,
NTN|항공코드,노먼턴 공항,,,,
RBS|항공코드,오보스트 공항,,,,
PKM|항공코드,팜아일랜드 공항,,,,
PBO|항공코드,파라버두 공항,,,,
PAL|항공코드,팰러필드 공항,,,,
PKE|항공코드,파크스 공항,,,,
PER|항공코드,퍼스 국제공항,,,,
PUG|항공코드,포트오거스타 공항,,,,
PHE|항공코드,포트헤드랜드 국제공항,,,,
PKT|항공코드,포트키츠 공항,,,,
PLO|항공코드,포트링컨 공항,,,,
PQQ|항공코드,포트매콰리 공항,,,,
PPI|항공코드,포트피리 공항,,,,
PTJ|항공코드,포틀랜드 공항,,,,
ULP|항공코드,킬피에 공항,,,,
SXE|항공코드,이스트 살레 에어베이스,,,,
RCM|항공코드,리치먼드 공군기지,,,,
KTR|항공코드,틴덜 공군기지,,,,
UWR|항공코드,우메라 공군기지,,,,
BHS|항공코드,레글런 공항,,,,
RCL|항공코드,레드클리프 공항,,,,
RMK|항공코드,렌마크 공항,,,,
RCM|항공코드,리치먼드 공항,,,,
RBC|항공코드,로빈베일 공항,,,,
ROK|항공코드,록햄프턴 공항,,,,
RMA|항공코드,로마 공항,,,,
RTS|항공코드,로트네스트아일랜드 공항,,,,
SGO|항공코드,세인트조지 공항,,,,
HLS|항공코드,세인트헬렌스 공항,,,,
DNM|항공코드,샤크 배이 공항,,,,
SHT|항공코드,쉐파턴 공항,,,,
SIO|항공코드,스미스턴 공항,,,,
SNB|항공코드,스네이크 배이 공항,,,,
SHQ|항공코드,사우스포트 공항,,,,
OAG|항공코드,스프링힐 공항,,,,
SWC|항공코드,스타웰 공항,,,,
SRN|항공코드,스트라한 공항,,,,
SWH|항공코드,스완힐 공항,,,,
TMW|항공코드,탬워스 공항,,,,
TRO|항공코드,타리 공항,,,,
XTO|항공코드,타룸 공항,,,,
TEM|항공코드,테모라 공항,,,,
TCA|항공코드,테넌트크릭 공항,,,,
THG|항공코드,탄굴 공항,,,,
XTG|항공코드,타르고민다 공항,,,,
TYB|항공코드,티부버라 공항,,,,
TCW|항공코드,토쿰왈 공항,,,,
TWB|항공코드,터움바 공항,,,,
TSV|항공코드,타운스빌 국제공항,,,,
MEL|항공코드,툴라마린 공항  ,멜버른,,,
TUM|항공코드,투무트 공항,,,,
WGE|항공코드,왈겟 공항,,,,
WGT|항공코드,왕가라타 공항,,,,
WKB|항공코드,워랙나빌 공항,,,,
QRR|항공코드,우렌 공항,,,,
WMB|항공코드,월냄불 공항,,,,
WEI|항공코드,웨이파 공항,,,,
WWY|항공코드,웨스트 왈룽 공항,,,,
WSY|항공코드,휘쳔데이 에어스트립,,,,
PPP|항공코드,휘천데이 코스트 공항,,,,
WYA|항공코드,왈랴 공항,,,,
NTL|항공코드,윌리암타운 공항,,,,
HWK|항공코드,윌피나 파운드 공항,,,,
WUN|항공코드,윌루나 공항,,,,
WNR|항공코드,윈도라 공항,,,,
WIN|항공코드,윈턴 공항,,,,
WOL|항공코드,울릉공 공항,,,,
WUD|항공코드,우디나 공항,,,,
NGA|항공코드,영 공항,,,,
PRI|항공코드,윌킨즈 런웨이,,,,
KVD|항공코드,지안쟈 국제공항,,,,
BAK|항공코드,헤이다 알리예프 국제공항,,,,
NAJ|항공코드,나히체반 공항,,,,
ZXT|항공코드,자브랏트 공항,,,,
BZL|항공코드,바리살 공항,,,,
CLA|항공코드,코밀라 공항,,,,
CXB|항공코드,콕스즈바자르 공항,,,,
IRD|항공코드,이셔디 공항,,,,
JSR|항공코드,제소르 공항,,,,
CGP|항공코드,샤아마낫 국제공항 ,파탠가,,,
RJH|항공코드,라샤히 공항,,,,
SPD|항공코드,새드퍼 공항,,,,
ZHM|항공코드,샴세르나가 공항,,,,
ZYL|항공코드,오스마니 국제공항 ,실헷,시빌,,
TKR|항공코드,타쿠르가온 공항,,,,
DAC|항공코드,지아 국제공항,,,,
PBH|항공코드,파로 공항,,,,
QJC|항공코드,팀부 공항,,,,
NKW|항공코드,디에고가르시아 트랙킹 스테이션,,,,
EIS|항공코드,비프 아일랜드 공항,,,,
VIJ|항공코드,버진고르다 공항,,,,
BWN|항공코드,브루나이 국제공항,,,,
REP|항공코드,앙코르 국제공항,,,,
BBM|항공코드,바탐방 공항,,,,
KZK|항공코드,콤퐁참 공항,,,,
KZC|항공코드,콤퐁취낭 공항,,,,
KTI|항공코드,크라티에 공항,,,,
PNH|항공코드,포켄통 공항,,,,
TNX|항공코드,스텅트렝 공항,,,,
AIT|항공코드,아바루아 공항,,,,
AIU|항공코드,에누아 공항,,,,
MGS|항공코드,망가이아 공항,,,,
MHX|항공코드,마니히키 아일랜드 공항,,,,
MUK|항공코드,마우케 공항,,,,
RAR|항공코드,라로통가 국제공항,,,,
PYE|항공코드,통가레바 공항,,,,
FNJ|항공코드,순안 국제공항  ,평양,,,
BFJ|항공코드,바 공항,,,,
CST|항공코드,케스트어웨이 아일랜드 공항,,,,
ICI|항공코드,시시아 공항,,,,
BVF|항공코드,다마 공항,,,,
KXF|항공코드,코로 공항,,,,
LKB|항공코드,라케바 공항,,,,
LBS|항공코드,램버사 공항,,,,
LEV|항공코드,레부카 에어필드 공항,,,,
PTF|항공코드,말로로라이라이 공항,,,,
MNF|항공코드,마나아일랜드 공항,,,,
MFJ|항공코드,모알라 공항,,,,
NAN|항공코드,나디 국제공항,,,,
SUV|항공코드,나우조리 국제공항,,,,
RBI|항공코드,라비 공항,,,,
RTA|항공코드,포투마 공항,,,,
SVU|항공코드,사부사부 공항 ,우타파우,,,
TVU|항공코드,타베우니 아일랜드 공항,,,,
VBV|항공코드,배뉴발래부 공항,,,,
VAU|항공코드,바투쿨라 공항,,,,
VTF|항공코드,바튤리 공항,,,,
KAY|항공코드,와카야 공항,,,,
AAA|항공코드,아나 공항,,,,
APK|항공코드,아파타키 공항,,,,
AXR|항공코드,아루투아 공항,,,,
HIX|항공코드,아투오나 공항,,,,
PPT|항공코드,파아 공항,,,,
FHZ|항공코드,파카히나 공항,,,,
FAV|항공코드,파카라바 공항,,,,
FGU|항공코드,팡가토 공항,,,,
HUH|항공코드,파레 공항,,,,
HOI|항공코드,하오 공항,,,,
HHZ|항공코드,히쿠에루 공항,,,,
KKR|항공코드,카우쿠라 공항,,,,
MKP|항공코드,마케모 공항,,,,
XMH|항공코드,머나이 공항,,,,
MVT|항공코드,마타이바 공항,,,,
MAU|항공코드,모피티 공항,,,,
BOB|항공코드,모투 무테 공항,,,,
NAU|항공코드,나푸카 공항,,,,
NHV|항공코드,누쿠 히바 공항,,,,
NUK|항공코드,누쿠타바크 공항,,,,
PKP|항공코드,푸카푸카 공항,,,,
PUK|항공코드,푸카루아 공항,,,,
RGI|항공코드,랑지로아 공항,,,,
REA|항공코드,레아오 아일랜드 공항,,,,
RUR|항공코드,루루투 공항,,,,
RVV|항공코드,라이바바에 공항 ,라이루아,,,
TKP|항공코드,타카포토 공항,,,,
TKX|항공코드,타카로아 공항,,,,
TKV|항공코드,타타코토 공항,,,,
MOZ|항공코드,테마에 공항,,,,
TTI|항공코드,테티아로아 공항,,,,
TIH|항공코드,타케하우 공항,,,,
GMR|항공코드,톳트제리 공항,,,,
TUB|항공코드,투부아이 공항,,,,
UAP|항공코드,우아 파우 공항,,,,
UAH|항공코드,우아 후카 공항,,,,
RFP|항공코드,우투로아 공항,,,,
VHZ|항공코드,버히타이 공항,,,,
SUI|항공코드,바부세리 공항,,,,
BUS|항공코드,바투미 공항,,,,
KUT|항공코드,코핏나리 공항,,,,
TBS|항공코드,트빌리시 국제공항 ,노보,알렉세이프카,,
GUM|항공코드,안토니오 보르냐 원 팟 국제공항,,,,
HKG|항공코드,홍콩 국제공항  ,첵랍콕,,,
AGX|항공코드,아가티 비행장,,,,
AKD|항공코드,아콜라 공항,,,,
IXV|항공코드,알롱 공항,,,,
LKO|항공코드,아마우시 공항,,,,
IXB|항공코드,바그도그라 공항,,,,
IXE|항공코드,바즈페 공항,,,,
RGH|항공코드,발루갓 공항,,,,
IXD|항공코드,밤라울리 공항,,,,
TCR|항공코드,투티코린 공항,,,,
HYD|항공코드,라지브간디 국제공항 ,하이데라바드,,,
BEP|항공코드,벨라리 공항,,,,
BHU|항공코드,바브하가 공항,,,,
BUP|항공코드,비자냐 공군기지,,,,
BHO|항공코드,라자 보 공항 ,보팔,,,
KUU|항공코드,분타르 공항,,,,
BBI|항공코드,비주 타르나익 공항 ,부다네스와,,,
PAB|항공코드,빌라스푸르 공항,,,,
IXR|항공코드,버사 문다 공항,란치,,,
GAU|항공코드,보리쟈 공항,,,,
CCJ|항공코드,칼리컷 국제공항  ,카리푸르,,,
CBD|항공코드,카니코바 공군기지,,,,
DIB|항공코드,츄부아 공항,,,,
KNU|항공코드,챠케리 공군기지,,,,
IXC|항공코드,찬디가르 공항,,,,
MAA|항공코드,첸나이 국제공항,,,,
BOM|항공코드,채해트라피티 시버지 국제공항,,,,
IXU|항공코드,티칼타나 공항,,,,
COK|항공코드,코친 국제공항,,,,
COH|항공코드,쿠치베하 공항,,,,
CDP|항공코드,쿠다파 공항,,,,
GOI|항공코드,다보림 공항,,,,
NMB|항공코드,담만 공항,,,,
DAE|항공코드,다파리조 공항,,,,
DEP|항공코드,데파리조 공항,,,,
IDR|항공코드,데비 아힐야바이 홀카 국제공항 ,인도레,,,
DBD|항공코드,단바드 공항,,,,
DMU|항공코드,디마푸르 공항,,,,
DIU|항공코드,디우 공항,,,,
DHM|항공코드,개갈 공항,,,,
IXY|항공코드,간디햄 ,칸들라,,,
ISK|항공코드,간디나가르 공항,,,,
GAY|항공코드,가야 공항,,,,
GOP|항공코드,고라크푸르 공군기지,,,,
JGA|항공코드,고바르단푸르 공항,,,,
GUX|항공코드,구나 공항,,,,
GWL|항공코드,관리오르 공항  ,마해라즈퍼 공군기지,,,
HSS|항공코드,히사르 공항,,,,
HBX|항공코드,후블리,,,,
IMF|항공코드,임팔 시공항,,,,
DEL|항공코드,인디라 간디 국제공항,,,,
JLR|항공코드,자발푸르 공항,,,,
JGB|항공코드,자그달푸르 공항,,,,
JSA|항공코드,자이살머 공항,,,,
PYB|항공코드,제이포르 공항,,,,
JDH|항공코드,조드푸르 공항,,,,
DED|항공코드,졸리 그란트 공항,,,,
IXK|항공코드,저너가더 공항,케쇼드,,,
IXH|항공코드,카일라샤하 공항,,,,
IXQ|항공코드,카말푸르 공항,,,,
KNU|항공코드,칸푸르 공항,,,,
HJR|항공코드,카주라호 공항,,,,
AGR|항공코드,케리아 공항 ,애본,파크,,
IXN|항공코드,코와이 공항,,,,
KLH|항공코드,콜하푸르 공항,,,,
