ICN|항공코드,인천 국제공항,인천 ,,,
GMP|항공코드,김포 국제공항,김포 ,,,
PUS|항공코드,김해 국제공항,김해 ,,,
CJU|항공코드,제주 국제공항,제주 ,,,
TAE|항공코드,대구 국제공항,대구 ,,,
CJJ|항공코드,청주 국제공항,청주 ,,,
KWJ|항공코드,광주 국제공항,광주 ,,,
MWX|항공코드,무안 국제공항,무안 ,,,
YNY|항공코드,양양 국제공항,양양 ,,,
USN|항공코드,울산 공항,울산 ,,,
HIN|항공코드,사천 공항,사천 ,,,
KPO|항공코드,포항 공항,포항 ,,,
KUV|항공코드,군산 공항,군산 ,,,
RSU|항공코드,여수 공항,여수 ,,,
MPK|항공코드,목포 공항,목포 ,,,
WJU|항공코드,원주 공항,원주 ,,,
SSN|항공코드,서울 공항,서울 ,,,
JDG|항공코드,정석 공항,정석 ,,,
ADL|항공코드,애들레이드 국제공항,애들레이드 ,,,
ALH|항공코드,올버니 공항,올버니 ,,,
ABX|항공코드,엘버리 공항,엘버리 ,,,
ASP|항공코드,앨리스 스프링스 공항,앨리스 스프링스 ,,,
ABH|항공코드,알파 공항,알파 ,,,
GTE|항공코드,알리앵굴라 공항,알리앵굴라 ,,,
ARY|항공코드,아라라트 공항,아라라트 ,,,
ARM|항공코드,아미데일 공항,아미데일 ,,,
AVV|항공코드,아발론 공항,아발론 ,,,
BSJ|항공코드,반즈데일 공항,반즈데일 ,,,
BNK|항공코드,밸리나 바이런 게이트웨이 공항,밸리나 바이런 게이트웨이 ,,,
BZD|항공코드,발라놀드 공항,발라놀드 ,,,
BWU|항공코드,뱅크스타운 공항,뱅크스타운 ,,,
BCI|항공코드,바르칼딘 공항,바르칼딘 ,,,
BRT|항공코드,베더스트아일랜드 공항,베더스트아일랜드 ,,,
BEU|항공코드,베두리 공항,베두리 ,,,
BEO|항공코드,벨먼트 공항,벨먼트 ,,,
BLN|항공코드,베날라 공항,베날라 ,,,
BXG|항공코드,벤디고 공항,벤디고 ,,,
