GHA|국가	GHA	가나	가나 공화국	가나공화국	Republic of Ghana	REPUBLIC OF GHANA	republic of ghana	Ghana	GHANA	ghana														
GAB|국가	GAB	가봉	가봉 공화국	가봉공화국	The Gabonese Republic	THE GABONESE REPUBLIC	the gabonese republic	Gabonese Republic	GABONESE REPUBLIC	gabonese republic	Gabon	GABON	gabon											
GUY|국가	GUY	가이아나	Guyana	GUYANA	guyana																			
GMB|국가	GMB	감비아	Republic of The Gambia	REPUBLIC OF THE GAMBIA	republic of the gambia	Republic of the gambia	Gambia	GAMBIA	gambia															
GGY|국가	GGY	건지 섬	건지 아일랜드	건지아일랜드	Guernsey Island	GUERNSEY ISLAND	guernsey island	Guernsey island	Guernsey	GUERNSEY	guernsey	건지	Bailiwick of Guernsey	BAILIWICK OF GUERNSEY	bailiwick of guernsey	Bailiwick of guernsey	Bailiage de Guernesey	BAILIAGE DE GUERNESEY	bailiage de guernesey					
GLP|국가	GLP	과들루프	과들루쁘	Guadeloupe	GUADELOUPE	guadeloupe																		
GTM|국가	GTM	과테말라	과테말라 공화국	과테말라공화국	Republic of Guatemala	REPUBLIC OF GUATEMALA	republic of guatemala	Republic of guatemala	Guatemala	GUATEMALA	guatemala													
GUM|국가	GUM	괌	Guam	guam	GUAM																			
GRD|국가	GRD	그레나다	Grenada	grenada	GRENADA																			
GEO|국가	GEO	조지아	그루지야	Republic of Georgia	REPUBLIC OF GEORGIA	republic of georgia	Republic of georgia	Georgia	GEORGIA	georgia														
GRC|국가	GRC	그리스	그리스 공화국	그리스공화국	Hellenic Republic	HELLENIC REPUBLIC	hellenic republic	Hellenic republic	The Hellenic Republic	THE HELLENIC REPUBLIC	the hellenic republic	The hellenic republic	Greece	GREECE	greece									
GRL|국가	GRL	그린란드	그뢴란	그린랜드	Grønland	GRØNLAND	grønland	Greenland	GREENLAND	greenland														
GIN|국가	GIN	기니	기니 공화국	기니공화국	Republic of Guinea	REPUBLIC OF GUINEA	republic of guinea	Republic of guinea	Guinea	GUINEA	guinea													
GNB|국가	GNB	기니비사우	기니비사우 공화국	기니비사우공화국	Republic of Guinea-Bissau	REPUBLIC OF GUINEA-BISSAU	republic of guinea-bissau	Republic of guinea-bissau	Republic of Guinea Bissau	REPUBLIC OF GUINEA BISSAU	republic of guinea bissau	Guinea-Bissau	GUINEA-BISSAU	guinea-bissau	Guinea Bissau	guinea bissau	GUINEA BISSAU							
NAM|국가	NAM	나미비아	나미비아 공화국	나미비아공화국	Republic of Namibia	REPUBLIC OF NAMIBIA	republic of namibia	Republic of namibia	Namibia	NAMIBIA	namibia	독일령 남서아프리카	독일령남서아프리카	South - West Africa	SOUTH - WEST AFRICA	south - west africa	Deutsch S?dwestafrika	DEUTSCH S?DWESTAFRIKA	deutsch s?dwestafrika					
NRU|국가	NRU	나우루	나우루 공화국	나우루공화국	Republic of Nauru	REPUBLIC OF NAURU	republic of nauru	Republic of nauru	Nauru	NAURU	nauru													
NGA|국가	NGA	나이지리아	나이지리아연방공화국	나이지리아 연방 공화국	나이지리아 연방공화국	나이지리아연방 공화국	Federal Republic of Nigeria	FEDERAL REPUBLIC OF NIGERIA	federal republic of nigeria	Federal republic of nigeria	Nigeria	NIGERIA	nigeria	나이제리아										
ATA|국가	ATA	남극	the Antarctic	The Antartic	THE ANTARTIC	the antartic	Antarctica	ANTARCTICA	antarctica															
ZAF|국가	ZAF	남아프리카 공화국	남아프리카공화국	남 아프리카 공화국	Republic of South Africa	REPUBLIC OF SOUTH AFRICA	republic of south africa	Republic of south africa																
NLD|국가	NLD	네덜란드	화란	화란국	네덜란드 왕국	네덜란드왕국	Kingdom of The Netherlands	KINGDOM OF THE NETHERLANDS	kingdom of the netherlands	Kingdom of the netherlands	Holland	HOLLAND	holland	Netherlands	NETHERLANDS	netherlands								
