0	ICN|항공코드	인천 국제공항					인천 
1	GMP|항공코드	김포 국제공항					김포 
2	PUS|항공코드	김해 국제공항					김해 
3	CJU|항공코드	제주 국제공항					제주 
4	TAE|항공코드	대구 국제공항					대구 
5	CJJ|항공코드	청주 국제공항					청주 
6	KWJ|항공코드	광주 국제공항					광주 
7	MWX|항공코드	무안 국제공항					무안 
8	YNY|항공코드	양양 국제공항					양양 
9	USN|항공코드	울산 공항					울산 
10	HIN|항공코드	사천 공항					사천 
11	KPO|항공코드	포항 공항					포항 
12	KUV|항공코드	군산 공항					군산 
13	RSU|항공코드	여수 공항					여수 
14	MPK|항공코드	목포 공항					목포 
15	WJU|항공코드	원주 공항					원주 
16	SSN|항공코드	서울 공항					서울 
17	JDG|항공코드	정석 공항					정석 
18	ADL|항공코드	애들레이드 국제공항					애들레이드 
19	ALH|항공코드	올버니 공항					올버니 
20	ABX|항공코드	엘버리 공항					엘버리 
21	ASP|항공코드	앨리스 스프링스 공항					앨리스 스프링스 
22	ABH|항공코드	알파 공항					알파 
23	GTE|항공코드	알리앵굴라 공항					알리앵굴라 
24	ARY|항공코드	아라라트 공항					아라라트 
25	ARM|항공코드	아미데일 공항					아미데일 
26	AVV|항공코드	아발론 공항					아발론 
27	BSJ|항공코드	반즈데일 공항					반즈데일 
28	BNK|항공코드	밸리나 바이런 게이트웨이 공항					밸리나 바이런 게이트웨이 
29	BZD|항공코드	발라놀드 공항					발라놀드 
30	BWU|항공코드	뱅크스타운 공항					뱅크스타운 
31	BCI|항공코드	바르칼딘 공항					바르칼딘 
32	BRT|항공코드	베더스트아일랜드 공항					베더스트아일랜드 
33	BEU|항공코드	베두리 공항					베두리 
34	BEO|항공코드	벨먼트 공항					벨먼트 
35	BLN|항공코드	베날라 공항					베날라 
36	BXG|항공코드	벤디고 공항					벤디고 
37	BVI|항공코드	버드스빌 공항					버드스빌 
38	BKQ|항공코드	블랙올 공항					블랙올 
39	BLT|항공코드	블랙워터 공항					블랙워터 
40	BQL|항공코드	부리아 공항					부리아 
41	BRK|항공코드	부케 공항					부케 
42	BWQ|항공코드	브레와리나 공항					브레와리나 
43	BNE|항공코드	브리즈번 국제공항					브리즈번 
44	BHQ|항공코드	브로큰힐 공항					브로큰힐 
45	BME|항공코드	브룸 국제공항					브룸 
46	BDB|항공코드	번다버그 공항					번다버그 
47	BWT|항공코드	버니 윈야드 공항					버니 윈야드 
48	BQB|항공코드	부셀톤 지역공항					부셀톤 지역
49	CNS|항공코드	케언스 국제공항					케언스 
50	CDU|항공코드	캠던 공항					캠던 
51	CBR|항공코드	캔버라 국제공항					캔버라 
52	CVQ|항공코드	카나번 공항					카나번 
53	CED|항공코드	세두나 공항					세두나 
54	CTL|항공코드	샤를빌 공항					샤를빌 
55	CCL|항공코드	친칠라 공항					친칠라 
56	XCH|항공코드	크리스마스아일랜드 공항					크리스마스아일랜드 
57	CMQ|항공코드	클레르몽 공항					클레르몽 
58	CVC|항공코드	크레브 공항					크레브 
59	CNJ|항공코드	클론커리 공항					클론커리 
60	CAZ|항공코드	코바 공항					코바 
61	CCK|항공코드	코코스 킬링 아일랜드 국제공항					코코스 킬링 아일랜드 
62	CUQ|항공코드	코언 공항					코언 
63	CFS|항공코드	코프스하버 공항					코프스하버 
64	CRB|항공코드	콜라레네브리 공항					콜라레네브리 
65	AYQ|항공코드	코넬런 공항					코넬런 
66	CPD|항공코드	쿠버페디 공항					쿠버페디 
67	CTN|항공코드	쿡타운 공항					쿡타운 
68	OOL|항공코드	쿨랑가타 공항					쿨랑가타 
